,0um,50um,150um,200um,250um,300um,350um,400um,450um,500um
2.19E+00,2.05E+24,1.57E+24,1.22E+24,7.86E+23,5.62E+23,4.16E+23,3.32E+23,2.30E+23,1.64E+23,1.28E+23
2.20E+00,1.70E+24,1.15E+24,8.87E+23,6.94E+23,5.12E+23,4.16E+23,2.79E+23,2.50E+23,2.28E+23,1.68E+23
2.21E+00,1.40E+24,1.12E+24,7.47E+23,5.39E+23,4.04E+23,3.12E+23,2.28E+23,1.25E+23,1.17E+23,1.17E+23
2.22E+00,1.34E+24,1.00E+24,7.03E+23,4.78E+23,3.71E+23,3.13E+23,2.62E+23,2.04E+23,1.90E+23,1.24E+23
2.23E+00,1.20E+24,9.21E+23,6.55E+23,4.41E+23,3.34E+23,2.92E+23,2.56E+23,2.21E+23,1.91E+23,1.69E+23
2.24E+00,9.81E+23,7.82E+23,5.87E+23,4.07E+23,3.57E+23,2.79E+23,2.07E+23,1.71E+23,1.42E+23,1.09E+23
2.25E+00,9.51E+23,6.94E+23,5.28E+23,3.46E+23,2.36E+23,1.44E+23,7.99E+22,4.42E+22,5.15E+22,5.85E+22
2.26E+00,7.54E+23,5.41E+23,4.06E+23,2.46E+23,1.94E+23,1.80E+23,1.23E+23,1.09E+23,1.08E+23,7.93E+22
2.27E+00,8.28E+23,6.07E+23,4.26E+23,2.61E+23,2.32E+23,1.72E+23,1.36E+23,1.28E+23,1.15E+23,1.08E+23
2.28E+00,5.21E+23,3.04E+23,2.36E+23,1.80E+23,1.66E+23,1.25E+23,1.10E+23,8.85E+22,8.20E+22,6.14E+22
2.29E+00,5.34E+23,3.87E+23,3.02E+23,2.34E+23,1.44E+23,1.43E+23,1.02E+23,1.00E+23,9.26E+22,4.31E+22
2.30E+00,4.73E+23,3.17E+23,2.36E+23,1.56E+23,1.00E+23,7.94E+22,5.07E+22,2.96E+22,2.23E+22,1.48E+22
2.31E+00,4.30E+23,3.17E+23,2.45E+23,2.31E+23,1.89E+23,1.47E+23,1.19E+23,7.75E+22,6.43E+22,6.43E+22
2.32E+00,3.25E+23,2.67E+23,1.59E+23,1.11E+23,8.24E+22,5.56E+22,4.14E+22,1.33E+22,1.35E+22,1.35E+22
2.33E+00,3.74E+23,2.25E+23,1.26E+23,8.26E+22,5.53E+22,2.75E+22,2.75E+22,3.43E+22,2.75E+22,1.38E+22
2.34E+00,3.18E+23,2.14E+23,1.98E+23,1.27E+23,7.84E+22,5.76E+22,5.56E+22,6.20E+22,4.19E+22,2.85E+22
2.35E+00,3.32E+23,3.31E+23,2.16E+23,1.26E+23,9.90E+22,6.99E+22,4.84E+22,4.17E+22,3.49E+22,1.43E+22
2.36E+00,2.61E+23,2.35E+23,1.34E+23,1.21E+23,1.08E+23,7.44E+22,4.77E+22,4.03E+22,4.03E+22,2.07E+22
2.37E+00,2.66E+23,2.16E+23,1.90E+23,1.38E+23,9.77E+22,7.74E+22,6.33E+22,4.18E+22,4.18E+22,2.85E+22
2.38E+00,3.29E+23,2.16E+23,1.68E+23,1.03E+23,7.46E+22,5.41E+22,4.07E+22,3.42E+22,3.41E+22,3.41E+22
2.39E+00,2.96E+23,2.06E+23,1.26E+23,7.34E+22,4.77E+22,4.10E+22,1.38E+22,1.38E+22,2.06E+22,2.06E+22
2.40E+00,2.33E+23,2.25E+23,1.94E+23,1.34E+23,8.78E+22,6.73E+22,4.02E+22,2.04E+22,7.05E+21,7.04E+21
2.41E+00,2.32E+23,2.24E+23,1.98E+23,1.01E+23,7.39E+22,6.15E+22,4.07E+22,3.37E+22,4.06E+22,3.41E+22
2.42E+00,2.36E+23,1.84E+23,1.40E+23,9.39E+22,8.06E+22,6.09E+22,4.87E+22,4.82E+22,3.48E+22,2.78E+22
2.43E+00,2.39E+23,2.18E+23,1.00E+23,7.95E+22,7.26E+22,6.49E+22,3.17E+22,1.98E+22,2.68E+22,2.00E+22
2.44E+00,2.49E+23,1.56E+23,1.12E+23,8.02E+22,6.07E+22,6.03E+22,4.76E+22,4.10E+22,2.78E+22,2.09E+22
2.45E+00,2.12E+23,1.53E+23,1.14E+23,9.49E+22,8.15E+22,4.73E+22,3.41E+22,2.08E+22,1.40E+22,2.05E+22
2.46E+00,2.68E+23,2.20E+23,1.51E+23,1.38E+23,9.84E+22,8.59E+22,7.98E+22,5.30E+22,5.30E+22,5.30E+22
2.47E+00,2.18E+23,1.58E+23,9.17E+22,7.93E+22,6.65E+22,4.67E+22,3.38E+22,2.03E+22,2.03E+22,6.70E+21
2.48E+00,2.41E+23,1.48E+23,1.24E+23,9.80E+22,7.91E+22,6.59E+22,6.59E+22,6.59E+22,4.04E+22,2.05E+22
2.49E+00,2.14E+23,1.57E+23,1.10E+23,8.42E+22,5.79E+22,4.46E+22,3.18E+22,2.56E+22,1.94E+22,6.85E+21
2.50E+00,1.99E+23,1.49E+23,1.03E+23,9.08E+22,5.80E+22,3.85E+22,1.98E+22,1.98E+22,2.60E+22,2.60E+22
2.51E+00,2.09E+23,1.31E+23,6.28E+22,5.10E+22,3.82E+22,4.38E+22,2.49E+22,2.49E+22,2.49E+22,1.83E+22
2.52E+00,1.46E+23,1.32E+23,5.72E+22,5.82E+22,5.16E+22,3.88E+22,5.82E+22,5.84E+22,5.18E+22,3.29E+22
2.53E+00,1.41E+23,1.32E+23,6.43E+22,5.85E+22,4.58E+22,2.73E+22,2.04E+22,2.04E+22,2.05E+22,2.04E+22
2.54E+00,1.19E+23,9.71E+22,9.85E+22,6.71E+22,5.79E+22,5.79E+22,5.14E+22,3.28E+22,3.91E+22,3.91E+22
2.55E+00,1.60E+23,9.55E+22,7.79E+22,7.06E+22,5.82E+22,5.20E+22,3.31E+22,1.98E+22,1.98E+22,1.98E+22
2.56E+00,1.30E+23,6.70E+22,4.17E+22,4.22E+22,3.62E+22,2.95E+22,1.86E+22,1.25E+22,1.25E+22,6.47E+21
2.57E+00,7.91E+22,6.24E+22,5.08E+22,4.49E+22,4.49E+22,2.58E+22,2.60E+22,2.60E+22,2.60E+22,1.31E+22
2.58E+00,2.34E+23,1.98E+23,1.39E+23,6.35E+22,5.06E+22,3.83E+22,2.59E+22,1.94E+22,1.89E+22,1.89E+22
2.59E+00,1.52E+23,1.01E+23,9.55E+22,8.92E+22,5.77E+22,3.21E+22,2.55E+22,1.30E+22,6.62E+21,0.00E+00
2.60E+00,1.61E+23,1.10E+23,8.56E+22,5.01E+22,3.19E+22,1.89E+22,1.90E+22,2.52E+22,1.27E+22,1.27E+22
2.61E+00,1.62E+23,1.23E+23,6.16E+22,3.66E+22,2.47E+22,1.82E+22,3.10E+22,3.09E+22,3.71E+22,3.71E+22
2.62E+00,1.31E+23,1.04E+23,8.15E+22,6.35E+22,4.44E+22,1.29E+22,1.29E+22,6.53E+21,6.52E+21,1.30E+22
2.63E+00,1.13E+23,7.48E+22,7.63E+22,6.37E+22,6.89E+22,3.80E+22,3.15E+22,3.02E+22,1.87E+22,1.87E+22
2.64E+00,1.88E+23,1.46E+23,9.90E+22,9.27E+22,9.25E+22,6.22E+22,4.36E+22,3.10E+22,2.50E+22,1.86E+22
2.65E+00,1.83E+23,1.18E+23,7.58E+22,6.91E+22,4.36E+22,3.10E+22,1.19E+22,1.21E+22,1.82E+22,6.10E+21
2.66E+00,1.95E+23,1.50E+23,7.82E+22,4.32E+22,2.55E+22,2.55E+22,1.29E+22,1.29E+22,6.47E+21,6.48E+21
2.67E+00,1.26E+23,1.46E+23,1.29E+23,9.39E+22,8.34E+22,8.38E+22,5.97E+22,5.39E+22,4.34E+22,4.34E+22
2.68E+00,1.71E+23,9.15E+22,5.94E+22,4.72E+22,3.66E+22,4.28E+22,3.12E+22,3.12E+22,3.07E+22,1.86E+22
2.69E+00,1.21E+23,1.01E+23,7.27E+22,4.99E+22,4.34E+22,3.70E+22,2.46E+22,1.26E+22,1.26E+22,6.24E+21
2.70E+00,8.54E+22,4.34E+22,3.73E+22,3.12E+22,3.71E+22,3.08E+22,3.71E+22,3.10E+22,3.09E+22,3.03E+22
2.71E+00,1.32E+23,9.43E+22,7.15E+22,3.65E+22,4.82E+22,3.06E+22,3.07E+22,3.06E+22,3.06E+22,3.06E+22
2.72E+00,1.06E+23,9.47E+22,6.55E+22,4.72E+22,3.59E+22,2.99E+22,2.37E+22,1.81E+22,0.00E+00,0.00E+00
2.73E+00,1.76E+23,9.98E+22,7.78E+22,3.65E+22,3.63E+22,3.03E+22,3.62E+22,3.04E+22,1.25E+22,6.34E+21
2.74E+00,1.23E+23,1.05E+23,8.17E+22,6.41E+22,5.84E+22,3.54E+22,2.40E+22,2.40E+22,1.79E+22,1.79E+22
2.75E+00,1.02E+23,7.85E+22,6.45E+22,4.77E+22,3.58E+22,1.80E+22,1.80E+22,1.80E+22,1.24E+22,1.24E+22
2.76E+00,7.01E+22,5.13E+22,3.54E+22,2.33E+22,1.76E+22,2.36E+22,2.91E+22,2.32E+22,1.76E+22,1.76E+22
2.77E+00,7.56E+22,5.85E+22,5.19E+22,4.64E+22,3.49E+22,2.95E+22,2.40E+22,2.40E+22,1.19E+22,0.00E+00
2.78E+00,1.20E+23,1.28E+23,9.47E+22,8.28E+22,5.90E+22,4.77E+22,4.17E+22,3.00E+22,1.21E+22,6.02E+21
2.79E+00,9.85E+22,9.19E+22,5.27E+22,4.20E+22,3.03E+22,3.56E+22,2.94E+22,2.94E+22,2.94E+22,2.34E+22
2.80E+00,1.03E+23,5.21E+22,6.24E+22,4.53E+22,2.83E+22,1.17E+22,5.80E+21,0.00E+00,0.00E+00,0.00E+00
2.81E+00,8.56E+22,8.25E+22,7.62E+22,4.08E+22,4.07E+22,4.07E+22,3.47E+22,2.92E+22,1.77E+22,1.17E+22
2.82E+00,1.31E+23,1.22E+23,7.60E+22,5.81E+22,4.11E+22,4.67E+22,2.91E+22,2.93E+22,2.93E+22,2.34E+22
2.83E+00,1.06E+23,8.03E+22,8.00E+22,6.23E+22,3.98E+22,2.27E+22,1.72E+22,5.89E+21,5.89E+21,5.89E+21
2.84E+00,7.54E+22,5.77E+22,5.17E+22,3.41E+22,1.69E+22,1.10E+22,1.67E+22,1.67E+22,1.67E+22,1.12E+22
